transaction_id,store_id,product_id,customer_id,date,quantity,unit_price,discount,total_revenue
T00001,S010,P018,C0687,2023-02-08,1,11.34,0.0,11.34
T00002,S014,P014,C1226,2023-12-28,2,11.43,0.05,21.72
T00003,S013,P008,C0213,2024-09-28,1,17.2,0.0,17.2
T00004,S003,P025,,2024-10-30,1,25.9,0.0,25.9
T00005,S010,P001,C0662,2024-09-01,2,8.28,0.0,16.56
T00006,S012,P019,C1913,2024-10-28,1,13.97,0.0,13.97
T00007,S001,P018,C0593,2023-02-09,1,11.36,0.15,9.66
T00008,S015,P001,C1738,2024-12-25,2,7.76,0.05,14.74
T00009,S011,P015,C0838,2024-12-07,1,12.78,0.0,12.78
T00010,S003,P002,C0814,2023-08-29,2,11.73,0.0,23.46
T00011,S006,P026,,2022-09-28,1,27.59,0.0,27.59
T00012,S015,P005,C1042,2024-12-26,1,16.12,0.0,16.12
T00013,S001,P001,C1379,2023-03-23,1,8.38,0.0,8.38
T00014,S011,P010,C1177,2024-11-13,1,16.5,0.0,16.5
T00015,S014,P013,,2024-05-04,1,13.98,0.0,13.98
T00016,S009,P007,,2023-12-19,3,18.81,0.0,56.43
T00017,S009,P003,C1738,2023-11-14,2,13.8,0.1,24.84
T00018,S015,P016,C0232,2024-12-30,2,9.61,0.0,19.22
T00019,S013,P026,C1406,2024-09-13,1,26.17,0.0,26.17
T00020,S015,P021,C1140,2024-12-26,1,12.8,0.0,12.8
T00021,S011,P006,C1703,2024-12-25,1,9.84,0.0,9.84
T00022,S014,P004,C1077,2024-08-13,1,14.52,0.0,14.52
T00023,S011,P016,C0036,2024-11-30,2,10.13,0.0,20.26
T00024,S012,P002,,2024-11-01,2,12.27,0.0,24.54
T00025,S004,P029,,2024-01-15,1,53.91,0.0,53.91
T00026,S007,P015,C0484,2023-09-20,1,13.41,0.0,13.41
T00027,S010,P006,C0926,2023-04-11,1,10.42,0.05,9.9
T00028,S014,P004,,2024-03-28,1,15.5,0.05,14.72
T00029,S006,P002,C1658,2024-05-08,3,12.08,0.0,36.24
T00030,S013,P004,C0656,2024-12-03,2,14.95,0.0,29.9
T00031,S014,P007,C0175,2023-12-17,1,18.24,0.0,18.24
T00032,S009,P013,C1005,2024-07-09,1,13.67,0.0,13.67
T00033,S003,P006,C1952,2022-09-16,1,9.95,0.0,9.95
T00034,S004,P016,C0215,2023-12-23,1,10.21,0.0,10.21
T00035,S003,P016,C0347,2023-06-06,1,9.53,0.0,9.53
T00036,S004,P005,C1100,2024-01-25,2,15.22,0.0,30.44
T00037,S006,P005,C0260,2024-12-22,1,16.61,0.0,16.61
T00038,S004,P020,,2023-11-19,1,18.07,0.0,18.07
T00039,S009,P025,C0730,2023-09-28,1,24.13,0.0,24.13
T00040,S002,P001,,2022-12-30,3,7.82,0.0,23.46
T00041,S010,P006,C1189,2023-06-01,2,10.26,0.0,20.52
T00042,S015,P004,C0416,2024-12-25,1,15.42,0.0,15.42
T00043,S006,P025,C1185,2024-03-24,1,26.06,0.0,26.06
T00044,S011,P013,C1453,2024-12-25,2,13.33,0.0,26.66
T00045,S007,P013,C0757,2023-11-01,2,13.71,0.05,26.05
T00046,S002,P008,,2022-09-30,1,17.65,0.0,17.65
T00047,S015,P016,C1823,2024-12-28,1,10.15,0.0,10.15
T00048,S009,P020,C0162,2023-10-20,1,18.61,0.0,18.61
T00049,S011,P026,,2024-12-02,1,26.65,0.0,26.65
T00050,S010,P006,C0913,2023-09-28,3,9.63,0.0,28.89
T00051,S011,P017,C1780,2024-12-20,2,11.49,0.0,22.98
T00052,S004,P011,C0921,2022-12-01,1,10.45,0.0,10.45
T00053,S005,P003,C0483,2022-08-21,1,13.58,0.0,13.58
T00054,S008,P009,C1575,2024-09-25,1,18.99,0.0,18.99
T00055,S003,P007,C1387,2022-07-24,1,18.67,0.05,17.74
T00056,S009,P014,C0232,2024-08-15,1,12.13,0.0,12.13
T00057,S009,P012,,2023-08-16,1,10.47,0.0,10.47
T00058,S003,P010,C0510,2023-07-12,2,16.39,0.0,32.78
T00059,S014,P022,C1004,2024-06-29,1,15.35,0.0,15.35
T00060,S004,P016,,2024-12-14,2,10.08,0.0,20.16
T00061,S011,P006,C0875,2024-12-12,2,10.45,0.0,20.9
T00062,S012,P016,C1594,2024-12-11,1,10.46,0.0,10.46
T00063,S014,P007,,2024-01-10,2,18.74,0.0,37.48
T00064,S009,P021,C0381,2023-10-06,2,12.9,0.0,25.8
T00065,S008,P022,,2023-10-15,3,16.14,0.0,48.42
T00066,S004,P015,,2024-04-19,2,13.57,0.0,27.14
T00067,S014,P021,C1701,2024-01-01,2,12.98,0.0,25.96
T00068,S009,P003,C0488,2024-11-27,1,13.64,0.0,13.64
T00069,S015,P003,C0479,2024-12-28,3,13.91,0.0,41.73
T00070,S005,P010,C1330,2023-04-27,1,15.27,0.0,15.27
T00071,S011,P007,C0154,2024-11-13,1,18.63,0.0,18.63
T00072,S014,P009,C0443,2024-11-27,1,19.6,0.0,19.6
T00073,S013,P008,C0281,2024-10-18,1,17.19,0.0,17.19
T00074,S010,P018,C1599,2024-07-23,1,11.27,0.0,11.27
T00075,S014,P023,C0392,2024-03-05,1,22.74,0.0,22.74
T00076,S009,P007,C1694,2024-08-06,1,18.71,0.0,18.71
T00077,S003,P009,C0177,2023-05-02,2,19.38,0.0,38.76
T00078,S013,P001,C1604,2024-11-12,1,8.39,0.0,8.39
T00079,S004,P017,,2023-07-07,1,11.5,0.0,11.5
T00080,S014,P008,C0806,2024-03-24,2,17.71,0.0,35.42
T00081,S007,P013,C1117,2024-12-22,2,13.53,0.0,27.06
T00082,S006,P005,C1128,2024-03-02,1,16.21,0.0,16.21
T00083,S015,P003,C1510,2024-12-25,2,13.36,0.0,26.72
T00084,S010,P012,C1785,2024-06-02,1,10.17,0.0,10.17
T00085,S003,P005,C1877,2022-08-07,1,15.79,0.0,15.79
T00086,S014,P010,C1655,2024-02-12,1,15.56,0.0,15.56
T00087,S001,P006,C1796,2024-01-30,1,9.65,0.0,9.65
T00088,S010,P001,C0929,2023-09-01,2,8.2,0.0,16.4
T00089,S001,P009,,2022-08-20,1,19.62,0.0,19.62
T00090,S011,P017,C1501,2024-12-23,1,11.5,0.0,11.5
T00091,S009,P016,C1903,2024-09-14,2,9.66,0.0,19.32
T00092,S009,P005,C0611,2024-09-07,1,15.75,0.05,14.96
T00093,S012,P006,C1531,2024-12-27,1,9.59,0.0,9.59
T00094,S014,P005,C0261,2024-07-19,1,15.8,0.0,15.8
