customer_id,age,gender,city,income_bracket,loyalty_member,registration_date
C0001,18.0,M,Sibiu,Low,0,2023-07-06
C0002,33.0,F,Bucuresti,Low,0,2023-08-31
C0003,39.0,M,Cluj-Napoca,High,0,2022-05-21
C0004,33.0,M,Bucuresti,Medium,1,2023-05-01
C0005,30.0,F,Bucuresti,Medium,0,2022-08-22
C0006,28.0,M,Oradea,Medium,1,2022-09-04
C0007,18.0,F,Pitesti,Medium,1,2023-10-17
C0008,24.0,M,Bucuresti,High,0,2024-05-29
C0009,27.0,M,Sibiu,Medium,0,2023-02-27
C0010,42.0,F,Pitesti,Low,0,2022-09-03
C0011,35.0,M,Galati,Low,1,2023-10-05
C0012,18.0,M,Bucuresti,Medium,0,2024-04-23
C0013,35.0,F,Arad,High,1,2024-01-03
C0014,28.0,M,Bucuresti,Medium,1,2024-04-20
C0015,25.0,F,Bucuresti,High,0,2023-06-26
C0016,38.0,M,Bucuresti,Medium,1,2024-01-06
C0017,42.0,M,Timisoara,Low,1,2022-07-05
C0018,41.0,F,Bucuresti,Low,0,2023-01-08
C0019,23.0,M,Bucuresti,Low,0,2023-02-14
C0020,,M,Bucuresti,Medium,1,2023-06-04
C0021,35.0,M,Ploiesti,Low,1,2024-06-14
C0022,41.0,M,Galati,Medium,0,2024-04-25
C0023,27.0,F,Bucuresti,Medium,0,2022-06-30
C0024,30.0,M,Galati,Medium,0,2022-08-03
C0025,20.0,F,Galati,Low,1,2023-01-16
C0026,,F,Oradea,Medium,0,2022-11-17
C0027,40.0,M,Bucuresti,Medium,0,2023-09-05
C0028,45.0,F,Craiova,Medium,1,2024-05-21
C0029,31.0,M,Targu Mures,High,0,2024-07-14
C0030,,,Craiova,Low,1,2023-10-10
C0031,35.0,M,Bucuresti,High,0,2024-03-24
C0032,25.0,F,Timisoara,Medium,1,2023-06-16
C0033,35.0,F,Brasov,Medium,0,2022-09-04
C0034,47.0,M,Iasi,Medium,1,2023-06-16
C0035,31.0,F,Bucuresti,Medium,1,2023-07-13
C0036,47.0,F,Bucuresti,Low,0,2023-12-29
C0037,,M,Ploiesti,Medium,0,2022-09-14
C0038,40.0,M,Galati,Medium,0,2023-01-26
C0039,32.0,F,Bucuresti,Medium,0,2023-01-22
C0040,29.0,F,Arad,Medium,1,2024-07-11
C0041,32.0,F,Bucuresti,High,1,2023-04-04
C0042,18.0,F,Brasov,Medium,0,2024-01-09
C0043,29.0,F,Sibiu,Low,1,2024-01-05
C0044,35.0,F,Ploiesti,Medium,1,2022-10-25
C0045,46.0,M,Arad,Medium,1,2023-07-28
C0046,26.0,M,Bucuresti,Medium,0,2024-05-13
C0047,23.0,F,Galati,Medium,0,2023-05-02
C0048,26.0,F,Bucuresti,High,0,2024-06-28
C0049,41.0,M,Craiova,,0,2022-09-10
C0050,35.0,M,Sibiu,Medium,0,2022-05-06
C0051,26.0,F,Brasov,High,0,2024-05-11
C0052,37.0,F,Bucuresti,High,0,2024-04-01
C0053,32.0,M,Galati,Medium,1,2024-08-10
C0054,41.0,F,Bucuresti,High,0,2023-11-02
C0055,24.0,M,Bucuresti,Low,0,2024-06-21
C0056,28.0,M,Craiova,High,0,2024-03-14
C0057,28.0,,Timisoara,Medium,0,2024-03-29
C0058,18.0,M,Galati,Low,0,2023-07-26
C0059,34.0,F,Cluj-Napoca,Low,0,2023-02-08
C0060,34.0,M,Bucuresti,Medium,0,2024-06-19
C0061,32.0,F,Ploiesti,Low,0,2023-03-24
C0062,29.0,F,Iasi,Medium,0,2023-06-28
C0063,18.0,M,Bucuresti,Low,0,2023-04-06
C0064,27.0,F,Craiova,Low,1,2023-07-22
C0065,28.0,F,Iasi,Medium,0,2023-04-28
C0066,23.0,F,Constanta,Medium,0,2022-04-13
C0067,30.0,M,Timisoara,Medium,0,2024-05-02
C0068,,F,Ploiesti,Medium,0,2023-04-04
C0069,50.0,F,Ploiesti,High,0,2023-08-13
C0070,33.0,M,Craiova,Medium,0,2022-07-04
C0071,34.0,M,Bucuresti,Medium,1,2022-03-04
C0072,31.0,F,Ploiesti,Medium,0,2022-10-07
C0073,18.0,F,Brasov,Low,0,2023-11-25
C0074,31.0,M,Craiova,Low,1,2022-05-29
C0075,32.0,F,Bucuresti,Medium,1,2024-05-26
C0076,56.0,M,Galati,High,0,2022-09-10
C0077,30.0,F,Craiova,Low,0,2022-09-01
C0078,35.0,M,Bucuresti,Low,0,2022-08-11
C0079,31.0,F,Cluj-Napoca,Low,0,2022-03-13
C0080,20.0,M,Galati,High,0,2024-01-24
C0081,43.0,M,Bucuresti,Medium,0,2024-04-26
C0082,39.0,M,Arad,Low,1,2023-09-04
C0083,39.0,M,Brasov,Medium,0,2022-08-17
C0084,22.0,F,Brasov,Medium,0,2022-11-12
C0085,46.0,M,Bucuresti,Medium,0,2023-05-03
C0086,18.0,F,Bucuresti,Low,1,2024-07-06
C0087,37.0,M,Targu Mures,High,0,2022-10-09
C0088,53.0,M,Bucuresti,Medium,1,2023-12-19
C0089,22.0,M,Oradea,Medium,0,2023-03-31
C0090,26.0,M,Cluj-Napoca,Low,0,2022-11-24
C0091,32.0,M,Bucuresti,Medium,0,2023-04-15
C0092,26.0,M,Bucuresti,Medium,0,2022-05-04
